"year","age3_m","age4_m","age5_m","age6_m","age7_m","age4_r","age5_r","age6_r","age7_r","age8_r","type"
1976,0,12,7,0,0,0,3,2,0,0,"raw"
1977,0,4,4,0,0,0,0,2,0,0,"raw"
1978,0,6,3,0,0,0,1,0,0,0,"raw"
1979,0,18,5,0,0,0,3,0,0,0,"raw"
1980,0,8,3,0,0,1,1,0,0,0,"raw"
1981,0,8,17,1,0,0,7,2,0,0,"raw"
1982,0,71,77,3,0,1,17,17,3,1,"raw"
1983,0,28,29,1,1,1,4,6,2,0,"raw"
1984,2,129,69,6,0,3,38,21,4,1,"raw"
1985,1,81,49,1,0,4,27,21,7,0,"raw"
1986,4,39,40,1,0,3,12,6,1,0,"raw"
1987,2,52,57,10,1,2,18,21,7,1,"raw"
1988,0,64,89,8,0,2,16,15,8,2,"raw"
1989,4,84,121,21,0,2,40,32,12,2,"raw"
1990,3,70,58,19,0,0,6,15,3,1,"raw"
1991,1,27,55,3,0,1,19,10,6,2,"raw"
1992,0,87,42,3,0,1,9,9,1,0,"raw"
1993,0,24,42,4,1,0,12,3,2,0,"raw"
1994,0,106,55,3,0,2,13,16,1,0,"raw"
1995,0,36,38,2,1,0,14,7,7,0,"raw"
1996,0,62,23,1,0,2,13,6,3,2,"raw"
1997,0,29,8,1,0,2,2,0,0,0,"raw"
1998,0,18,15,2,0,0,9,9,0,0,"raw"
1999,1,14,4,0,0,0,3,2,1,0,"raw"
2000,0,7,5,0,0,0,0,3,0,0,"raw"
2001,0,42,29,2,0,1,11,5,0,4,"raw"
2002,0,50,31,6,0,0,12,3,4,1,"raw"
2003,4,79,127,24,0,1,28,24,6,0,"raw"
2004,0,127,132,22,2,1,9,20,6,3,"raw"
2005,1,46,74,11,1,0,20,9,3,0,"raw"
2006,0,47,53,10,0,0,4,6,2,0,"raw"
2007,1,31,60,8,1,0,5,3,1,0,"raw"
2008,0,44,36,8,1,1,14,6,0,0,"raw"
2009,0,3,4,1,0,0,0,0,0,0,"raw"
2010,0,8,2,0,0,0,0,0,0,0,"raw"
2011,5,136,186,11,0,0,43,4,1,0,"raw"
2012,2,55,51,5,1,1,7,7,0,0,"raw"
2013,1,86,65,8,0,1,17,12,0,0,"raw"
2014,0,61,43,4,0,1,10,5,1,0,"raw"
2015,1,73,33,1,0,0,12,1,0,0,"raw"
2016,0,87,128,15,0,1,31,11,3,0,"raw"
2017,0,60,58,5,0,0,5,7,0,0,"raw"
2018,2,129,48,6,0,2,4,4,0,0,"raw"
2019,0,40,76,1,0,3,11,1,0,0,"raw"
2020,2,13,7,2,0,0,2,0,0,0,"raw"
2021,1,3,8,0,0,0,2,1,0,0,"raw"
2022,0,0,0,1,0,0,0,0,0,0,"raw"
2023,0,4,2,0,0,0,2,0,0,0,"raw"
