"year","age3_m","age4_m","age5_m","age6_m","age7_m","age4_r","age5_r","age6_r","age7_r","age8_r","age9_r","type"
1975,0,13,4,1,0,0,2,1,1,1,0,"raw"
1976,0,16,13,0,0,0,6,3,0,0,0,"raw"
1978,0,0,4,0,0,0,0,0,0,0,0,"raw"
1979,0,1,0,0,0,0,2,2,0,0,0,"raw"
1980,0,20,14,2,0,0,3,2,0,0,0,"raw"
1981,0,10,18,0,0,0,2,1,0,0,0,"raw"
1982,0,22,46,3,0,0,6,7,0,0,0,"raw"
1983,0,10,41,3,0,1,6,4,3,0,0,"raw"
1984,1,34,36,2,0,0,6,5,0,0,0,"raw"
1985,3,91,108,16,1,8,12,28,7,0,0,"raw"
1986,0,18,78,17,0,1,4,16,5,0,0,"raw"
1987,3,30,42,12,0,0,9,23,6,2,0,"raw"
1988,1,153,187,11,0,1,9,13,13,3,0,"raw"
1989,1,34,94,25,0,0,9,16,2,0,0,"raw"
1990,1,73,81,15,0,2,12,23,4,0,0,"raw"
1991,0,28,34,5,0,1,6,7,1,0,1,"raw"
1992,0,41,53,3,0,0,3,3,0,1,0,"raw"
1993,0,11,37,11,0,0,0,4,0,0,0,"raw"
1994,1,29,29,2,0,3,2,6,1,0,0,"raw"
1995,0,6,11,1,0,0,1,0,0,0,0,"raw"
1997,0,24,17,0,0,0,5,4,0,0,0,"raw"
1998,0,3,2,0,0,0,0,1,0,0,0,"raw"
1999,0,2,1,0,0,0,0,0,0,0,0,"raw"
2000,0,4,2,0,0,0,0,2,0,0,0,"raw"
2002,0,0,1,0,0,0,0,0,0,0,0,"raw"
2003,0,19,21,2,0,0,4,4,0,0,0,"raw"
2004,0,55,48,5,0,0,6,4,0,0,0,"raw"
2005,0,18,50,7,0,0,11,4,4,0,0,"raw"
2006,0,17,16,2,0,0,0,2,0,0,0,"raw"
2007,0,25,40,9,1,0,6,2,1,0,0,"raw"
2008,0,15,16,3,0,2,7,2,0,0,0,"raw"
2009,0,27,12,3,0,0,5,1,0,0,0,"raw"
2010,3,24,10,0,0,0,2,0,0,0,0,"raw"
2011,0,20,22,0,0,0,3,2,0,0,0,"raw"
2012,2,77,59,12,0,1,6,6,1,0,0,"raw"
2013,1,47,66,10,0,0,24,9,0,0,0,"raw"
2014,0,87,43,5,0,1,8,12,0,0,0,"raw"
2015,3,98,81,9,0,0,10,6,0,0,0,"raw"
2016,3,137,121,16,0,0,22,4,0,0,0,"raw"
2017,0,35,57,6,0,0,8,6,0,0,0,"raw"
2018,0,30,18,2,0,0,1,0,0,0,0,"raw"
2019,2,51,103,5,0,0,8,0,0,0,0,"raw"
2020,2,16,23,2,0,1,3,1,0,0,0,"raw"
2021,0,0,1,0,0,0,0,0,0,0,0,"raw"
