"year","age3_m","age4_m","age5_m","age6_m","age7_m","age4_r","age5_r","age6_r","age7_r","age8_r","age9_r","type"
1975,0,225,125,8,0,0,15,17,3,0,0,"raw"
1976,0,83,215,3,0,0,32,9,0,0,0,"raw"
1977,0,197,52,1,0,0,8,8,2,0,0,"raw"
1978,0,111,86,2,0,1,27,1,0,0,0,"raw"
1979,1,197,88,4,0,1,48,52,4,1,0,"raw"
1980,0,34,33,0,0,2,6,6,0,0,0,"raw"
1981,0,165,131,6,0,0,93,18,0,1,0,"raw"
1982,0,275,259,13,0,2,73,73,12,1,0,"raw"
1983,1,230,255,21,0,3,65,50,13,1,0,"raw"
1984,0,362,155,21,0,6,35,40,7,1,0,"raw"
1985,3,290,237,12,1,4,84,48,8,5,0,"raw"
1986,0,165,251,47,0,1,48,54,6,1,0,"raw"
1987,6,227,243,38,1,1,54,65,14,3,1,"raw"
1988,1,273,275,28,0,3,43,31,11,2,0,"raw"
1989,3,188,332,48,0,0,52,63,19,3,1,"raw"
1990,9,310,218,39,0,0,32,58,10,3,0,"raw"
1991,4,265,264,18,0,4,64,36,12,5,0,"raw"
1992,1,299,234,15,0,1,20,37,8,1,0,"raw"
1993,0,186,237,17,0,2,38,29,5,0,0,"raw"
1994,0,144,244,20,1,0,42,30,5,0,0,"raw"
1995,1,244,152,20,0,0,27,43,12,1,0,"raw"
1996,0,302,156,5,0,9,34,17,4,1,0,"raw"
1997,0,280,192,14,0,2,48,22,5,3,0,"raw"
1998,1,92,191,15,0,2,27,17,4,0,0,"raw"
1999,0,170,146,15,0,2,22,37,2,0,0,"raw"
2000,3,130,105,9,1,0,19,21,6,1,0,"raw"
2001,1,99,147,4,0,0,19,15,3,0,0,"raw"
2002,0,39,12,1,0,0,1,0,0,0,0,"raw"
2003,2,99,199,24,0,1,42,22,3,0,0,"raw"
2004,1,158,174,36,3,1,20,21,7,0,0,"raw"
2005,0,79,156,28,1,0,27,26,8,0,0,"raw"
2006,0,164,139,21,1,1,15,27,3,1,0,"raw"
2007,0,145,190,15,1,1,52,25,8,0,0,"raw"
2008,0,119,75,8,0,3,48,10,0,0,0,"raw"
2009,0,151,74,7,0,3,35,18,1,0,0,"raw"
2010,4,261,71,1,0,4,52,13,0,0,0,"raw"
2011,6,372,278,21,0,2,94,14,0,0,0,"raw"
2012,2,243,347,42,0,1,56,11,0,0,0,"raw"
2013,1,225,247,50,0,0,83,44,0,0,0,"raw"
2014,3,189,170,13,0,1,37,13,0,0,0,"raw"
2015,0,172,178,8,0,0,44,8,0,0,0,"raw"
2016,0,266,280,38,1,1,47,22,0,0,0,"raw"
2017,0,100,289,13,0,0,32,12,0,0,0,"raw"
2018,4,203,115,18,0,0,15,9,0,0,0,"raw"
2019,2,145,188,20,0,0,30,10,1,0,0,"raw"
2020,4,241,119,5,0,1,14,9,0,0,0,"raw"
2021,1,60,148,3,0,1,25,9,0,0,0,"raw"
2022,1,45,14,0,0,0,7,4,0,0,0,"raw"
2023,1,56,58,0,0,1,19,10,0,0,0,"raw"
