year,catch
1962,2422
1963,2311
1964,1797
1965,1480
1966,2754
1967,1435
1968,1724
1969,1342
1970,1812
1971,1818
1972,1198
1973,1232
1974,1165
1975,1142
1976,681
1977,1287
1978,2631
1979,616
1980,1515
1981,1301
1982,1358
1983,1173
1984,2091
1985,2016
1986,1044
1987,651
1988,442
1989,372
1990,317
1991,357
1992,575
1993,415
1994,167
1995,224
1996,154
1997,69
1998,4
1999,9
2000,21
2001,7
2002,18
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
