"year","SST_cst"
1960,13.9940856297811
1961,14.6352402369181
1962,13.7960519790649
1963,14.5824988683065
1964,13.9816773732503
1965,13.5972992579142
1966,14.1985594431559
1967,14.4311730066935
1968,14.2996152242025
1969,13.8649781545003
1970,13.1330919265747
1971,13.5511960983276
1972,14.0305910110474
1973,13.3466116587321
1974,13.6207405726115
1975,13.4439264933268
1976,13.6704012552897
1977,13.7932055791219
1978,14.4417327245076
1979,14.2412640253703
1980,13.8495836257935
1981,13.7099272410075
1982,13.6654224395752
1983,15.0353841781616
1984,13.4821815490723
1985,13.7719097137451
1986,13.8690395355225
1987,13.6478312810262
1988,13.7158505121867
1989,14.7251701354981
1990,14.9799108505249
1991,13.7666180928548
1992,14.8657118479411
1993,15.0230820973714
1994,14.8530871073405
1995,15.2279297510783
1996,13.8994029362996
1997,15.3754657109579
1998,14.6985187530518
1999,13.7040096918742
2000,14.478645324707
2001,13.8229955037435
2002,13.8950595855713
2003,14.9030742645264
2004,15.3956206639608
2005,14.9005161921183
2006,14.2343203226725
2007,14.5894244511922
2008,12.8453270594279
2009,13.7356541951497
2010,13.6331434249878
2011,14.4571288426717
2012,14.1472765604655
2013,14.8296689987183
2014,14.6658382415772
2015,15.518398920695
2016,14.8983840942383
2017,14.5936892827352
2018,15.1029634475708
2019,15.2347323099772
2020,14.7183945973714
2021,14.8643407821655
2022,NA
