"year","sst"
1980,11.2027811857692
1981,10.9271910587947
1982,10.889945412937
1983,9.92224090141162
1984,11.1219400690313
1985,10.6037708855512
1986,10.8799494755896
1987,9.90599893896203
1988,10.3615355094274
1989,11.4213147351616
1990,11.5715527325346
1991,11.2829463502817
1992,10.8824912853408
1993,10.761014267018
1994,11.6668115896091
1995,11.0718548757988
1996,11.8892173997143
1997,11.064785035033
1998,11.6050173316086
1999,10.8368644756183
2000,11.4017961318033
2001,11.7894264606007
2002,10.8689589688652
2003,11.4848402759485
2004,11.5247539637382
2005,11.1144619615454
2006,12.0758414393977
2007,11.4494159577186
2008,12.6177196209891
2009,11.7586956777071
2010,11.035686932112
2011,12.1886020083176
2012,12.0846444159223
2013,12.2888000450636
2014,11.9931802122216
2015,11.0268397163927
2016,11.8275327055078
2017,11.5928857974839
2018,11.7361549410904
2019,11.6391141916576
2020,11.9944474697113
2021,12.1876551686672
2022,13.2286774944841
