age_lut_id,age_code,age_txt,fw_annuli_txt,maiden_sw_annuli_txt,total_sw_annuli,sy_total_age,prior_spawning_count,date_added,verified
1,'1                                                                                                                                                                                                                                                              ,1,NULL,NULL,NULL,1,NULL,2017-06-26 14:55:23+00,TRUE
2,'1.+                                                                                                                                                                                                                                                            ,1+,1,0,0,2,0,2017-06-26 14:55:23+00,TRUE
3,'1.+S+                                                                                                                                                                                                                                                          ,1+S+,1,0,0,3,1,2017-06-26 14:55:23+00,TRUE
4,'1.1                                                                                                                                                                                                                                                            ,11,1,1,1,3,0,2017-06-26 14:55:23+00,TRUE
5,'1.1+                                                                                                                                                                                                                                                           ,11+,1,1,1,3,0,2017-06-26 14:55:23+00,TRUE
6,'1.1+S+                                                                                                                                                                                                                                                         ,11+S+,1,1,1,4,1,2017-06-26 14:55:23+00,TRUE
7,'1.1+S+S+                                                                                                                                                                                                                                                       ,11+S+S+,1,1,1,5,2,2017-06-26 14:55:23+00,TRUE
8,'1.1S                                                                                                                                                                                                                                                           ,11S,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
9,'1.1S1                                                                                                                                                                                                                                                          ,11S1,1,1,2,5,1,2017-06-26 14:55:23+00,TRUE
10,'1.2                                                                                                                                                                                                                                                            ,12,1,2,2,4,0,2017-06-26 14:55:23+00,TRUE
11,'1.2+                                                                                                                                                                                                                                                           ,12+,1,2,2,4,0,2017-06-26 14:55:23+00,TRUE
12,'1.2S                                                                                                                                                                                                                                                           ,12S,1,2,2,5,1,2017-06-26 14:55:23+00,TRUE
13,'1.3                                                                                                                                                                                                                                                            ,13,1,3,3,5,0,2017-06-26 14:55:23+00,TRUE
14,'1.3+                                                                                                                                                                                                                                                           ,13+,1,3,3,5,0,2017-06-26 14:55:23+00,TRUE
15,'1.4                                                                                                                                                                                                                                                            ,14,1,4,4,6,0,2017-06-26 14:55:23+00,TRUE
16,'1.S1                                                                                                                                                                                                                                                           ,1S1,1,0,1,4,1,2017-06-26 14:55:23+00,TRUE
17,'1.S2                                                                                                                                                                                                                                                           ,1S2,1,0,2,5,1,2017-06-26 14:55:23+00,TRUE
18,'1/1                                                                                                                                                                                                                                                            ,11,0,0,0,1,NULL,2017-06-26 14:55:23+00,TRUE
19,'10                                                                                                                                                                                                                                                             ,10,NULL,NULL,NULL,10,NULL,2017-06-26 14:55:23+00,TRUE
20,'2                                                                                                                                                                                                                                                              ,2,0,1,1,2,NULL,2017-06-26 14:55:23+00,TRUE
21,'2.+                                                                                                                                                                                                                                                            ,2+,2,0,0,3,0,2017-06-26 14:55:23+00,TRUE
22,'2.+F+                                                                                                                                                                                                                                                          ,2+F+,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
23,'2.+F+F+                                                                                                                                                                                                                                                        ,2+F+F+,2,2,2,5,0,2017-06-26 14:55:23+00,TRUE
24,'2.+F+F+F+                                                                                                                                                                                                                                                      ,2+F+F+F+,2,3,3,6,0,2017-06-26 14:55:23+00,TRUE
25,'2.+F+F+F+F+                                                                                                                                                                                                                                                    ,2+F+F+F+F+,2,4,4,7,0,2017-06-26 14:55:23+00,TRUE
26,'2.+F+F+S+                                                                                                                                                                                                                                                      ,2+F+F+S+,2,2,2,6,1,2017-06-26 14:55:23+00,TRUE
27,'2.+F+F+S+S+                                                                                                                                                                                                                                                    ,2+F+F+S+S+,2,2,2,7,2,2017-06-26 14:55:23+00,TRUE
28,'2.+F+S+                                                                                                                                                                                                                                                        ,2+F+S+,2,1,1,5,1,2017-06-26 14:55:23+00,TRUE
29,'2.+F+S+S+                                                                                                                                                                                                                                                      ,2+F+S+S+,2,1,1,6,2,2017-06-26 14:55:23+00,TRUE
30,'2.+F+S+S+S+                                                                                                                                                                                                                                                    ,2.+F+S+S+S+,NULL,NULL,NULL,NULL,3,2017-06-26 14:55:23+00,TRUE
31,'2.+S+                                                                                                                                                                                                                                                          ,2+S+,2,0,0,4,1,2017-06-26 14:55:23+00,TRUE
32,'2.+S+S+                                                                                                                                                                                                                                                        ,2+S+S+,2,0,0,5,2,2017-06-26 14:55:23+00,TRUE
33,'2.+S+S+S+                                                                                                                                                                                                                                                      ,2+S+S+S+,2,0,0,6,3,2017-06-26 14:55:23+00,TRUE
34,'2.1                                                                                                                                                                                                                                                            ,21,2,1,1,4,0,2017-06-26 14:55:23+00,TRUE
35,'2.1+                                                                                                                                                                                                                                                           ,21+,2,1,1,4,0,2017-06-26 14:55:23+00,TRUE
36,'2.1+S+                                                                                                                                                                                                                                                         ,21+S+,2,1,1,5,1,2017-06-26 14:55:23+00,TRUE
37,'2.1+S+1+                                                                                                                                                                                                                                                       ,21+S+1+,NULL,NULL,NULL,NULL,1,2017-06-26 14:55:23+00,TRUE
38,'2.1+S+S+                                                                                                                                                                                                                                                       ,21+S+S+,2,1,1,6,2,2017-06-26 14:55:23+00,TRUE
39,'2.1S                                                                                                                                                                                                                                                           ,21S,2,1,1,5,1,2017-06-26 14:55:23+00,TRUE
40,'2.1S1                                                                                                                                                                                                                                                          ,21S1,2,1,2,6,1,2017-06-26 14:55:23+00,TRUE
41,'2.1S2                                                                                                                                                                                                                                                          ,21S2,2,1,3,7,1,2017-06-26 14:55:23+00,TRUE
42,'2.2                                                                                                                                                                                                                                                            ,22,2,2,2,5,0,2017-06-26 14:55:23+00,TRUE
43,'2.2+                                                                                                                                                                                                                                                           ,22+,2,2,2,5,0,2017-06-26 14:55:23+00,TRUE
44,'2.2+S+                                                                                                                                                                                                                                                         ,22+S+,2,2,2,6,1,2017-06-26 14:55:23+00,TRUE
45,'2.2S                                                                                                                                                                                                                                                           ,22S,2,2,2,6,1,2017-06-26 14:55:23+00,TRUE
46,'2.2S1                                                                                                                                                                                                                                                          ,22S1,2,2,3,7,1,2017-06-26 14:55:23+00,TRUE
47,'2.2S1S1                                                                                                                                                                                                                                                        ,22S1S1,2,2,4,9,2,2017-06-26 14:55:23+00,TRUE
48,'2.3                                                                                                                                                                                                                                                            ,23,2,3,3,6,0,2017-06-26 14:55:23+00,TRUE
